Namespace(BATCH=64, DECLR=5.0, DROPOUT=False, EARLY=False, EARLY_PATIENCE=5, EMBED=300, EVAL_EVERY=1, HIDDEN=600, HIDDEN2=None, LAMBDA=0.0001, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=3, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/fra_eng3.dec', SAVE_ENC_PATH='./data/model/fra_eng3.enc', STEP=30, TEST_FILE='eng-fra-small.test', TRAIN_FILE='eng-fra-small.train', VALID_FILE='eng-fra-small.valid')
cuda states: True
[1/30] train_loss: 3.0585, valid_loss: 3.0143
[2/30] train_loss: 2.4430, valid_loss: 2.9472
[3/30] train_loss: 2.2291, valid_loss: 2.7893
[4/30] train_loss: 2.0923, valid_loss: 2.7895
[5/30] train_loss: 1.9731, valid_loss: 2.6011
[6/30] train_loss: 1.9243, valid_loss: 2.5669
[7/30] train_loss: 1.8052, valid_loss: 2.5317
[8/30] train_loss: 1.7734, valid_loss: 2.4905
[9/30] train_loss: 1.7273, valid_loss: 2.5119
[10/30] train_loss: 1.6827, valid_loss: 2.6078
[11/30] train_loss: 1.6629, valid_loss: 2.4642
[12/30] train_loss: 1.6315, valid_loss: 2.4865
[13/30] train_loss: 1.6132, valid_loss: 2.4564
[14/30] train_loss: 1.6014, valid_loss: 2.4137
[15/30] train_loss: 1.5796, valid_loss: 2.4298
[16/30] train_loss: 1.2057, valid_loss: 2.1964
[17/30] train_loss: 1.0555, valid_loss: 2.1913
[18/30] train_loss: 0.9923, valid_loss: 2.1863
[19/30] train_loss: 0.9444, valid_loss: 2.2010
[20/30] train_loss: 0.9062, valid_loss: 2.2285
[21/30] train_loss: 0.8741, valid_loss: 2.2261
[22/30] train_loss: 0.8441, valid_loss: 2.2521
[23/30] train_loss: 0.8194, valid_loss: 2.2706
[24/30] train_loss: 0.7939, valid_loss: 2.2565
[25/30] train_loss: 0.7736, valid_loss: 2.2706
[26/30] train_loss: 0.7583, valid_loss: 2.2765
[27/30] train_loss: 0.7416, valid_loss: 2.3054
[28/30] train_loss: 0.7292, valid_loss: 2.3236
[29/30] train_loss: 0.7160, valid_loss: 2.3558
[30/30] train_loss: 0.7051, valid_loss: 2.3471
