Namespace(BATCH=64, DECLR=5.0, DROPOUT=True, DROPOUT_RATE=0.1, EARLY=True, EARLY_PATIENCE=5, EMBED=256, EVAL_EVERY=1, HIDDEN=512, HIDDEN2=None, LAMBDA=0.0001, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=6, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/eng-fra10.dec', SAVE_ENC_PATH='./data/model/eng-fra10.enc', STEP=40, TEST_FILE='eng-fra-small.test', TRAIN_FILE='eng-fra-small.train', VALID_FILE='eng-fra-small.valid')
cuda states: True
[1/40] train_loss: 3.3738, valid_loss: 3.3850
[2/40] train_loss: 2.7098, valid_loss: 3.2045
[3/40] train_loss: 2.4528, valid_loss: 2.8916
[4/40] train_loss: 2.2149, valid_loss: 2.7552
[5/40] train_loss: 2.1605, valid_loss: 2.7093
[6/40] train_loss: 1.9518, valid_loss: 2.6577
[7/40] train_loss: 1.8816, valid_loss: 2.6095
[8/40] train_loss: 1.8184, valid_loss: 2.5479
[9/40] train_loss: 9.0424, valid_loss: 13.2280
[10/40] train_loss: 9.0308, valid_loss: 9.6466
[11/40] train_loss: 5.7077, valid_loss: 5.5001
[12/40] train_loss: 4.5955, valid_loss: 4.8090
[13/40] train_loss: 4.2911, valid_loss: 4.5692
[14/40] train_loss: 4.1765, valid_loss: 4.4319
[15/40] train_loss: 3.8440, valid_loss: 4.0602
[16/40] train_loss: 3.5355, valid_loss: 3.8957
[17/40] train_loss: 3.3327, valid_loss: 3.7354
[18/40] train_loss: 3.1713, valid_loss: 3.6489
[19/40] train_loss: 3.0205, valid_loss: 3.5521
[20/40] train_loss: 2.8556, valid_loss: 3.4154
[21/40] train_loss: 2.5894, valid_loss: 3.2823
[22/40] train_loss: 2.5388, valid_loss: 3.2596
[23/40] train_loss: 2.5054, valid_loss: 3.2531
[24/40] train_loss: 2.4700, valid_loss: 3.2175
[25/40] train_loss: 2.4311, valid_loss: 3.2037
[26/40] train_loss: 2.3933, valid_loss: 3.1569
[27/40] train_loss: 2.3541, valid_loss: 3.1361
[28/40] train_loss: 2.3132, valid_loss: 3.1230
[29/40] train_loss: 2.2740, valid_loss: 3.1076
[30/40] train_loss: 2.2364, valid_loss: 3.0756
[31/40] train_loss: 2.1735, valid_loss: 3.0627
[32/40] train_loss: 2.1653, valid_loss: 3.0624
[33/40] train_loss: 2.1605, valid_loss: 3.0601
[34/40] train_loss: 2.1550, valid_loss: 3.0586
[35/40] train_loss: 2.1513, valid_loss: 3.0556
[36/40] train_loss: 2.1470, valid_loss: 3.0559
[37/40] train_loss: 2.1419, valid_loss: 3.0505
[38/40] train_loss: 2.1375, valid_loss: 3.0500
[39/40] train_loss: 2.1329, valid_loss: 3.0440
[40/40] train_loss: 2.1284, valid_loss: 3.0452
