Namespace(BATCH=64, DECLR=5.0, DROPOUT=True, EARLY=False, EARLY_PATIENCE=5, EMBED=300, EVAL_EVERY=1, HIDDEN=600, HIDDEN2=None, LAMBDA=0.0001, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=3, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/fra_eng5.dec', SAVE_ENC_PATH='./data/model/fra_eng5.enc', STEP=30, TEST_FILE='eng-fra-small.test', TRAIN_FILE='eng-fra-small.train', VALID_FILE='eng-fra-small.valid')
cuda states: True
[1/30] train_loss: 3.5800, valid_loss: 3.2898
[2/30] train_loss: 2.6780, valid_loss: 3.0122
[3/30] train_loss: 2.4546, valid_loss: 3.0532
[4/30] train_loss: 2.2900, valid_loss: 2.7344
[5/30] train_loss: 2.1360, valid_loss: 2.6922
[6/30] train_loss: 2.0301, valid_loss: 2.6135
[7/30] train_loss: 2.3178, valid_loss: 3.0120
[8/30] train_loss: 2.2052, valid_loss: 2.6180
[9/30] train_loss: 1.8855, valid_loss: 2.5512
[10/30] train_loss: 1.8067, valid_loss: 2.5145
[11/30] train_loss: 1.7748, valid_loss: 2.4875
[12/30] train_loss: 2.1320, valid_loss: 2.7993
[13/30] train_loss: 1.8717, valid_loss: 2.4723
[14/30] train_loss: 1.7336, valid_loss: 2.4845
[15/30] train_loss: 1.7085, valid_loss: 2.4705
[16/30] train_loss: 1.3464, valid_loss: 2.2595
[17/30] train_loss: 1.2146, valid_loss: 2.2027
[18/30] train_loss: 1.1606, valid_loss: 2.1910
[19/30] train_loss: 1.1180, valid_loss: 2.2214
[20/30] train_loss: 1.0848, valid_loss: 2.2126
[21/30] train_loss: 1.0512, valid_loss: 2.1872
[22/30] train_loss: 1.0224, valid_loss: 2.2206
[23/30] train_loss: 0.8803, valid_loss: 2.1931
[24/30] train_loss: 0.8479, valid_loss: 2.1879
[25/30] train_loss: 0.8311, valid_loss: 2.1932
[26/30] train_loss: 0.8216, valid_loss: 2.1907
[27/30] train_loss: 0.8080, valid_loss: 2.1868
[28/30] train_loss: 0.7969, valid_loss: 2.1892
[29/30] train_loss: 0.7860, valid_loss: 2.1986
[30/30] train_loss: 0.7765, valid_loss: 2.2157
