Namespace(BATCH=64, DECLR=5.0, DROPOUT=True, EARLY=False, EARLY_PATIENCE=5, EMBED=300, EVAL_EVERY=1, HIDDEN=600, HIDDEN2=None, LAMBDA=0.0001, LR=0.001, METHOD='general', MIN_DELTA=0.0, NUM_HIDDEN=3, PATH='./data/en_fa/', SAVE_DEC_PATH='./data/model/fra-eng2.dec', SAVE_ENC_PATH='./data/model/fra-eng2.enc', STEP=40, TEST_FILE='fra-eng-small.test', TRAIN_FILE='fra-eng-small.train', VALID_FILE='fra-eng-small.valid')
cuda states: True
[1/40] train_loss: 2.7057, valid_loss: 2.8530
[2/40] train_loss: 1.9701, valid_loss: 2.5022
[3/40] train_loss: 1.7291, valid_loss: 2.3651
[4/40] train_loss: 1.7545, valid_loss: 2.5331
[5/40] train_loss: 1.4957, valid_loss: 2.3268
[6/40] train_loss: 1.3156, valid_loss: 2.2086
[7/40] train_loss: 1.2406, valid_loss: 2.3389
[8/40] train_loss: 1.1665, valid_loss: 2.2984
[9/40] train_loss: 1.1330, valid_loss: 2.1517
[10/40] train_loss: 1.1032, valid_loss: 2.1245
[11/40] train_loss: 1.0880, valid_loss: 2.1372
[12/40] train_loss: 1.0556, valid_loss: 2.1203
[13/40] train_loss: 1.0841, valid_loss: 2.0715
[14/40] train_loss: 1.0179, valid_loss: 2.0655
[15/40] train_loss: 1.0046, valid_loss: 2.5327
[16/40] train_loss: 1.0131, valid_loss: 2.3456
[17/40] train_loss: 0.9878, valid_loss: 2.2226
[18/40] train_loss: 0.9745, valid_loss: 2.1537
[19/40] train_loss: 0.9740, valid_loss: 2.3168
[20/40] train_loss: 0.9586, valid_loss: 2.5199
[21/40] train_loss: 0.6745, valid_loss: 1.8877
[22/40] train_loss: 0.5502, valid_loss: 1.8590
[23/40] train_loss: 0.5084, valid_loss: 1.8705
[24/40] train_loss: 0.4808, valid_loss: 1.9062
[25/40] train_loss: 0.4589, valid_loss: 1.8835
[26/40] train_loss: 0.4401, valid_loss: 1.8630
[27/40] train_loss: 0.4228, valid_loss: 1.9001
[28/40] train_loss: 0.4109, valid_loss: 1.9846
[29/40] train_loss: 0.3964, valid_loss: 2.0566
[30/40] train_loss: 0.3860, valid_loss: 1.9991
[31/40] train_loss: 0.2969, valid_loss: 1.9833
[32/40] train_loss: 0.2778, valid_loss: 1.9627
[33/40] train_loss: 0.2697, valid_loss: 2.0099
[34/40] train_loss: 0.2646, valid_loss: 1.9576
[35/40] train_loss: 0.2609, valid_loss: 1.9847
[36/40] train_loss: 0.2575, valid_loss: 2.0012
[37/40] train_loss: 0.2533, valid_loss: 2.0224
[38/40] train_loss: 0.2509, valid_loss: 2.0205
[39/40] train_loss: 0.2473, valid_loss: 2.0211
[40/40] train_loss: 0.2435, valid_loss: 2.0106
